name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Paenibacillus crassostreae	1763538	species	4757181	34	28	0.0
Deinococcus actinosclerus	1768108	species	3264334	19	15	0.0
Paucibacter sp. KCTC 42545	1768242	species	5169161	43	29	0.0
Microbulbifer aggregans	1769779	species	3864326	24	19	0.0
Salinicola tamaricis	1771309	species	4276240	42	31	0.0
Arthrobacter sp. ATCC 21022	1771959	species	4434904	19	9	0.0
Polaribacter vadi	1774273	species	3809314	51	42	0.0
Bacillus sp. SDLI1	1774743	species	4134042	82	4	0.0
Rhodanobacteraceae	1775411	family	0	1	0	0.0
Alteromonas sp. Mac1	1777491	species	4696291	25	1	0.0
Candidatus Doolittlea endobia	1778262	species	846562	4	3	0.0
Candidatus Hoaglandella endobia	1778263	species	636713	6	2	0.0
Candidatus Mikella endobia	1778264	species	352837	12	4	0.0
Dickeya fangzhongdai	1778540	species	5032447	55	27	0.0
Rhodothermaceae bacterium RA	1779382	species	4653222	26	17	0.0
Streptomyces sp. S10(2016)	1783515	species	9083372	37	20	0.0
Acinetobacter lactucae	1785128	species	3981712	27	8	0.0
Gemella sp. oral taxon 928	1785995	species	1769679	48	27	0.0
Leptotrichia sp. oral taxon 847	1785996	species	2194935	31	20	0.0
Pseudomonas versuta	1788301	species	5149788	22	13	0.0
Acinetobacter larvae	1789224	species	3741098	36	28	0.0
Wenyingzhuangia fucanilytica	1790137	species	3427057	44	32	0.0
Bosea sp. PAMC 26642	1792307	species	5510355	36	29	0.0
Yangia sp. CCB-MM3	1792508	species	5522061	42	28	0.0
Stenotrophomonas sp. KCTC 12332	1793721	species	4541594	45	14	0.0
Burkholderia sp. PAMC 26561	1795043	species	7431919	48	15	0.0
Microbacterium sp. PAMC 28756	1795053	species	3539061	18	12	0.0
Frondihabitans sp. PAMC 28766	1795630	species	4766863	28	24	0.0
Variovorax sp. PAMC 28711	1795631	species	4316152	46	28	0.0
Burkholderia sp. PAMC 28687	1795874	species	6881273	46	15	0.0
Bacteroides caecimuris	1796613	species	4839927	21	12	0.0
Blautia sp. YL58	1796616	species	5128746	26	19	0.0
Flavivirga eckloniae	1803846	species	5665358	57	47	0.0
Burkholderia sp. OLGA172	1804984	species	8574890	47	27	0.0
Olsenella sp. Marseille-P2300	1805478	species	2176737	16	11	0.0
Christensenella massiliensis	1805714	species	2560186	13	10	0.0
Rhodococcus sp. MTM3W5.2	1805827	species	5665081	33	24	0.0
Rouxiella sp. ERMR1:05	1805933	species	5530672	46	26	0.0
Candidatus Promineofilum breve	1806508	species	5033966	45	36	0.0
Sphingorhabdus sp. M41	1806885	species	3339521	22	12	0.0
Arthrobacter sp. ZXY-2	1806905	species	5058708	20	11	0.0
Stanieria sp. NIES-3757	1807358	species	5463308	55	38	0.0
Rhodococcus sp. BH4	1807790	species	7019149	20	2	0.0
Acinetobacter sp. LoGeW2-3	1808001	species	3357734	25	14	0.0
Herminiimonas arsenitoxidans	1809410	species	3784322	29	19	0.0
Immundisolibacter cernigliae	1810504	species	3243537	26	15	0.0
Streptococcus pantholopis	1811193	species	2241302	16	12	0.0
Streptomyces sp. fd1-xmd	1812480	species	7929999	37	23	0.0
Enterobacter cloacae complex 'Hoffmann cluster III'	1812934	species	6678013	55	7	0.0
Enterobacter cloacae complex 'Hoffmann cluster IV'	1812935	species	4899997	24	4	0.0
Shigella sp. PAMC 28760	1813821	species	4558287	10609	57	0.0
Streptococcus halotolerans	1814128	species	2182100	11	9	0.0
Colwellia sp. PAMC 20917	1816218	species	4683314	41	26	0.0
Colwellia sp. PAMC 21821	1816219	species	4884300	34	24	0.0
Marinobacterium aestuarii	1821621	species	5191608	27	17	0.0
Edwardsiella anguillarum	1821960	species	4329652	40	3	0.0
Paraburkholderia	1822464	genus	0	5	0	0.0
Desulfuromonas sp. DDH964	1823759	species	3924652	29	24	0.0
Candidatus Nitrosotenuis	1825023	genus	0	4	0	0.0
Streptococcus marmotae	1825069	species	2322791	16	11	0.0
Synechococcus sp. NIES-970	1827144	species	3123859	10	10	0.0
Bacillus sp. IHB B 7164	1827146	species	5036631	49	2	0.0
Pseudomonas sp. MYb193	1827300	species	6211636	34	17	0.0
Stenotrophomonas sp. MYb57	1827305	species	4694453	62	24	0.0
Brevundimonas sp. GW460-12-10-14-LB2	1827469	species	3263775	20	14	0.0
Enterobacter sp. ODB01	1827481	species	4534036	31	4	0.0
Desulfotomaculum ferrireducens	1833852	species	3240180	16	13	0.0
Lachnoclostridium sp. YL32	1834196	species	7225339	30	23	0.0
Ruminiclostridium sp. KB18	1834198	species	3802844	20	17	0.0
Parabacteroides sp. YL27	1834200	species	3306457	8	6	0.0
Burkholderiales bacterium YL45	1834205	species	2923112	11	9	0.0
Erysipelotrichaceae bacterium I46	1834207	species	4468297	35	30	0.0
Fibrella sp. ES10-3-2-2	1834519	species	6408035	25	24	0.0
Polynucleobacter duraquae	1835254	species	2026292	14	9	0.0
secondary endosymbiont of Trabutina mannipara	1835721	species	298471	11	8	0.0
Maribacter sp. T28	1836467	species	4271158	55	39	0.0
Bacillus sp. FJAT-14266	1837130	species	4109356	2187	1141	0.0
Streptomyces sp. S8	1837283	species	7601864	43	15	0.0
Lacunisphaera limnophila	1838286	species	4199284	42	39	0.0
Bacillus sp. FDAARGOS_235	1839798	species	5608392	61	28	0.0
Streptococcus sp. FDAARGOS_192	1839799	species	2435494	14	2	0.0
Yersinia sp. FDAARGOS_228	1839800	species	4963041	13	0	0.0
Dehalogenimonas formicexedens	1839801	species	2092789	20	13	0.0
Streptomyces sp. RTd22	1841249	species	11142275	62	46	0.0
Gordonibacter massiliensis	1841863	species	3948172	22	15	0.0
Pelobacter sp. SFB93	1842532	species	3218469	15	12	0.0
Acidovorax sp. RAC01	1842533	species	4574859	43	32	0.0
Sinorhizobium sp. RAC02	1842534	species	6626583	44	28	0.0
Blastomonas sp. RAC04	1842535	species	4403499	31	26	0.0
