gene,A1,A2,A3,B1,B2,B3
gene2857,0,0.39,0.06,0.66,0.74,0.64
gene2858,29.81,34.06,7.09,5.45,10.4,12.95
gene2859,29.08,19.51,13.08,67.36,33.44,79.52
gene2860,30.26,18.8,11.45,61.49,32.51,79.52
gene2861,28.97,20.22,12.42,64.96,31.39,84.55
gene2862,17.7,7.86,13.15,42.09,16.35,23
gene2863,5.81,4.19,2.67,9.76,4.89,17.86
gene2864,46.22,23.76,79.9,17.9,31.27,31.21
gene2865,13.01,12.36,3.63,42.81,23.41,22.6
gene2866,6.7,1.09,7.03,2.28,2.23,0.92
gene2867,0.39,0.52,0.24,0,0.19,0.12
gene2868,19.26,12.94,11.75,51.67,27.68,38.49
gene2869,2.85,2.19,0.97,8.5,4.33,9.19
gene2870,16.24,19.77,5.69,51.19,14.61,36.06
gene2871,2.4,2.12,1.21,0.96,0.37,1.1
gene2872,0,0.26,0.12,0.3,0.56,0.69
gene2873,0.56,0.64,0.3,0.18,0.06,0.17
gene2874,0.84,0.32,1.21,2.22,3.53,4.22
gene2875,4.35,5.02,3.15,2.16,1.3,2.14
gene2876,6.42,7.02,8.97,31.19,28.79,21.5
gene2877,1.79,0.9,1.64,0.48,0.25,0.87
gene2878,1.56,0.97,0.61,3.89,1.05,4.45
gene2879,0.95,0.97,0.55,0.3,0.06,0.29
gene2880,2.68,3.61,1.09,7.9,4.4,14.28
gene2881,0.11,0.64,0.18,0.6,0.62,1.79
gene2882,18.59,6.05,32.29,7.07,8.55,9.59
gene2883,4.86,5.67,1.58,1.68,0.68,1.21
gene2884,5.41,5.99,2.67,1.86,2.11,1.85
gene2885,2.4,2.12,1.15,11.2,5.88,13.64
gene2886,11.33,10.37,6.42,27.48,17.21,28.26
gene2887,12.28,12.81,9.03,37.18,23.59,36.06
gene2888,0.45,0.52,0.73,3.59,1.3,5.78
gene2889,1.67,0.9,0.12,2.63,1.8,4.22
gene2890,1.45,1.42,1.33,4.73,3.41,5.2
gene2891,17.75,16.74,10.78,28.44,29.29,35.95
gene2892,5.02,3.8,7.09,1.56,1.67,3.06
gene2893,7.37,11.46,3.51,13.23,18.64,15.32
gene2894,5.02,3.16,3.88,1.98,0.31,1.1
gene2895,0.11,0.84,0.24,0.36,2.35,1.33
gene2896,2.68,1.93,2.06,9.4,2.79,5.14
gene2897,2.46,1.48,0.97,6.35,2.23,6.47
gene2898,4.74,1.55,5.45,1.5,0.87,1.79
gene2899,1.79,0.71,5.27,0.72,0.8,0.92
gene2900,7.15,5.34,12.05,3.23,4.46,4.16
gene2901,0.06,0.13,0,0.66,0.5,0.29
gene2902,23,7.98,24.11,8.44,8.61,9.88
gene2903,2.23,0.32,0.73,4.01,0.68,6.82
gene2904,1.73,1.29,1.09,4.97,1.86,4.97
gene2905,2.79,1.22,2.18,5.99,3.96,10.58
gene2906,0.17,0,0.06,0.24,0.25,0.87
gene2907,9.43,11.14,6.24,15.81,17.52,20.11
gene2908,34.89,28.59,19.38,18.26,12.32,16.41
gene2909,2.34,0.84,1.64,0.06,0.68,0.46
gene2910,1.28,1.8,0.3,4.19,1.3,4.57
gene2911,23.5,20.28,6.06,6.11,7.06,7.69
gene2912,18.14,7.02,41.56,5.57,10.84,13.64
gene2913,7.82,11.46,7.21,6.29,1.98,3.87
gene2914,0.28,1.29,0.3,0,0,0.12
gene2915,41.75,19.45,30.05,17.84,18.51,15.14
gene2916,0.5,0.52,0.12,1.56,0.43,1.73
gene2917,3.35,1.16,1.88,12.63,2.17,7.51
gene2918,2.34,1.03,0.91,8.08,1.55,4.85
gene2919,0.61,0.39,0.36,0.18,0,0.06
gene2920,9.15,10.5,3.63,18.2,19.88,14.39
gene2921,0.56,0,0.3,3.11,0.25,4.05
gene2922,1.23,1.61,0.24,7.72,11.15,3.29
gene2923,1.67,0.71,1.09,5.33,1.8,7.05
gene2924,0.89,1.8,0.85,2.87,2.85,3.81
gene2925,0.61,0.97,0.24,1.92,2.04,1.91
gene2926,3.13,2.32,1.09,11.44,3.47,9.02
gene2927,1.67,1.16,0.85,5.03,2.23,3.12
gene2928,9.77,13.65,4.85,16.53,20.62,21.33
gene2929,16.41,0.9,10.06,0.12,1.42,2.95
